0	31	3 / 22
0	34	21 / 13
0	40	-22 / 19
0	68	-7 / 16
0	71	20 / 19
1	43	17 / 19
1	46	4 / 27
1	71	17 / 11
1	80	-29 / 16
2	12	-9 / 28
2	18	2 / 23
2	75	-26 / 21
2	84	-24 / 5
3	3	-1 / 4
3	18	21 / 19
3	21	27 / 20
3	27	-12 / 23
3	32	-18 / 5
3	41	-30 / 17
3	42	-18 / 7
3	53	-13 / 16
3	57	24 / 23
3	83	-5 / 21
4	4	-7 / 3
4	23	-16
4	25	17 / 10
4	32	-29 / 18
4	36	-21 / 31
4	51	-2 / 27
4	78	-10 / 3
4	80	-12 / 17
5	8	19 / 17
5	13	23 / 28
5	34	20 / 17
5	45	10 / 9
5	67	23 / 30
5	74	-19 / 14
5	85	-19 / 13
6	19	29 / 26
6	57	-20 / 13
6	72	9 / 25
6	74	-5 / 2
6	84	-24 / 7
7	39	-13 / 18
7	63	14 / 13
7	64	-11 / 3
8	24	25 / 7
9	8	7 / 9
9	12	-25 / 27
9	17	-24 / 13
10	18	-13 / 25
10	21	12 / 17
10	48	-12 / 17
10	57	23 / 14
10	72	10 / 23
11	11	1 / 7
11	66	-15 / 16
11	73	-16 / 5
11	75	23 / 19
12	6	-21 / 5
12	15	-18 / 25
12	17	11 / 14
12	27	23 / 26
12	41	13 / 5
13	64	-14 / 27
13	90	15 / 26
14	20	24 / 19
14	31	11 / 6
14	65	20 / 29
14	71	-1 / 30
15	15	13 / 5
15	25	2 / 13
15	41	-1 / 16
15	50	-29 / 23
15	92	-2 / 19
16	12	14 / 9
16	21	27 / 16
16	47	-3 / 5
16	50	-23 / 14
17	7	-11 / 17
17	9	15 / 4
17	36	-22 / 27
17	51	12 / 7
17	78	-5 / 8
18	0	28 / 15
18	7	13 / 22
18	16	-2 / 7
18	29	29 / 17
18	42	27 / 29
18	70	-17 / 18
18	95	27 / 16
19	23	13 / 15
19	28	-21 / 23
19	53	-20 / 31
19	56	-1 / 15
19	58	-19 / 30
19	64	21 / 8
19	73	18 / 25
20	56	15
20	69	30 / 23
21	3	29 / 23
21	57	14 / 25
21	83	-26 / 29
21	92	26 / 5
22	11	13 / 12
22	28	22 / 13
22	32	-14 / 31
22	44	24 / 31
22	45	21 / 10
22	59	-27 / 29
22	61	23 / 28
22	69	-29 / 21
23	35	7 / 5
23	59	-26 / 27
23	69	-28 / 23
24	31	-16 / 29
24	41	-2 / 23
24	46	6 / 23
24	49	23 / 21
24	50	23 / 28
24	76	-2 / 21
24	81	-8 / 21
25	4	-21 / 29
25	12	12
25	76	1 / 2
25	90	-1 / 25
26	58	-2 / 23
26	66	13 / 18
26	95	24 / 7
27	6	15 / 29
27	41	12 / 25
27	55	9 / 4
27	68	-8 / 23
28	1	-21 / 8
28	29	29 / 4
28	39	-1 / 13
28	59	3 / 31
28	95	-11 / 21
29	24	9 / 29
29	39	10 / 3
29	44	12 / 11
29	56	-23 / 27
29	67	22 / 7
30	4	18 / 5
30	30	-26
30	55	18 / 19
30	61	-12 / 35
30	67	-9 / 10
30	71	16 / 11
30	81	-15 / 23
30	87	29 / 9
31	29	-6 / 5
31	31	26 / 23
31	39	-15 / 29
31	67	12 / 23
31	79	11 / 30
31	92	-1 / 16
31	98	17 / 23
32	8	24 / 23
32	30	-17 / 7
32	54	-2 / 17
32	76	-25 / 28
32	77	-26 / 7
33	53	1 / 18
33	81	18 / 25
33	91	15 / 28
34	5	-7 / 2
34	79	-13 / 20
35	0	-6 / 17
35	24	-12 / 5
35	28	27 / 17
35	70	-25 / 12
35	86	13 / 18
35	92	-3
36	2	13 / 11
36	8	-12 / 17
36	20	-8 / 11
36	49	-9 / 8
36	60	-6
36	61	-17 / 4
36	72	20
36	88	18 / 13
37	18	-27 / 28
37	23	-22 / 17
37	52	-5 / 14
37	66	-3 / 19
37	85	19 / 8
38	29	-8 / 15
38	34	-2 / 25
38	40	13 / 25
38	47	17 / 22
38	55	-13 / 4
38	71	-27 / 20
38	98	-16 / 13
39	8	4 / 17
39	17	-11 / 9
39	67	25 / 21
39	82	14 / 17
39	88	4
40	21	-23 / 10
40	45	-5 / 21
40	63	16 / 9
40	95	-24 / 25
40	96	20 / 23
41	8	29 / 21
41	97	14 / 25
42	1	-2 / 29
42	19	21
42	49	14 / 31
42	53	-11 / 25
42	55	-1 / 12
42	71	-28 / 25
42	77	15 / 34
42	92	-28 / 25
42	96	26 / 3
43	17	10 / 13
43	25	1 / 11
43	58	-12 / 29
43	91	9 / 8
43	93	-21 / 11
43	98	-16 / 27
44	13	-4 / 23
44	22	9 / 29
44	23	13 / 22
44	31	18 / 17
44	38	25 / 16
44	42	-9 / 10
44	69	-18 / 7
44	86	25 / 16
44	89	-10
44	92	15
45	14	-2 / 19
45	15	15 / 13
45	79	-13 / 29
45	82	3 / 25
45	84	-19 / 22
45	99	7 / 20
46	16	-20 / 11
46	68	8 / 29
47	20	22 / 19
47	84	15 / 23
48	17	-2 / 23
48	21	-5 / 18
48	36	10 / 11
48	39	25 / 4
48	59	7 / 15
48	65	-28 / 19
48	82	-6 / 11
48	91	13 / 21
48	97	-6 / 5
49	47	1 / 28
49	82	23 / 9
49	95	-18 / 17
50	11	-20 / 9
50	31	10 / 31
50	41	15 / 26
50	62	-10 / 27
51	0	19
51	11	6 / 25
51	24	-6 / 25
51	88	-6 / 17
51	99	-25 / 27
52	12	9 / 2
52	49	29 / 10
52	97	29 / 14
53	4	25 / 17
53	7	20 / 19
53	63	5 / 2
53	67	-29
53	68	-4 / 27
54	20	-18 / 13
54	27	-14
54	39	8 / 31
54	43	-16 / 3
54	59	-21 / 4
54	83	-15 / 13
55	22	8 / 33
55	45	10 / 13
55	56	11 / 28
55	60	11 / 9
55	75	-7 / 26
55	83	27 / 26
56	43	-2 / 27
56	64	1 / 29
56	92	7 / 8
57	4	-12
57	8	-25 / 27
57	25	-25 / 19
57	47	-9 / 8
57	63	30 / 19
57	76	-22 / 13
57	86	20 / 3
57	88	-6 / 25
58	31	23 / 21
58	38	2 / 31
58	68	-9 / 26
58	76	29 / 14
58	84	-28 / 27
58	95	-5 / 7
58	97	-21 / 4
59	14	26
59	21	19 / 13
59	29	-25 / 28
59	42	9 / 16
59	62	30 / 13
59	96	-8 / 7
60	26	1 / 8
60	68	21 / 25
60	69	-9
60	93	-14
60	97	16 / 29
61	5	-14 / 25
61	50	-11 / 20
61	67	-13 / 12
61	70	17 / 29
62	0	-17 / 15
62	22	-8 / 3
62	26	-27 / 11
62	36	-14 / 31
62	53	-13 / 7
62	58	-3 / 20
62	63	-21 / 5
63	6	19 / 7
63	20	24 / 5
63	45	-5 / 16
63	85	2 / 7
64	3	5 / 23
64	21	5 / 8
64	36	18 / 35
64	63	-3 / 25
64	95	28 / 25
65	1	-21 / 11
65	28	-28 / 13
65	45	10 / 17
65	97	-8 / 17
66	17	-27 / 14
66	35	-26 / 29
66	70	10 / 13
66	92	-30 / 17
67	39	7
67	63	4 / 17
67	64	22 / 3
67	73	21 / 17
68	15	-3 / 20
68	30	12 / 5
68	56	-26 / 9
68	57	16 / 19
69	10	-8 / 7
69	12	-2 / 19
69	22	-6 / 5
69	26	6 / 25
69	31	22 / 21
69	33	-21 / 23
69	39	8 / 13
69	55	18
69	75	-6 / 5
70	9	21 / 29
70	21	-30 / 29
70	32	22 / 29
70	67	-15 / 4
71	1	-6 / 7
71	14	-26 / 29
71	30	21 / 26
71	63	-4 / 13
71	65	26 / 5
71	79	5 / 29
72	15	3 / 19
72	25	-19 / 21
72	37	14 / 31
72	46	14 / 3
72	51	-7 / 11
73	3	6 / 7
73	4	2 / 27
73	13	-17 / 8
73	22	16 / 5
73	67	-5 / 27
73	80	-8 / 25
73	82	23 / 18
73	91	28 / 17
74	10	-4 / 9
74	29	18 / 13
75	2	21 / 11
75	30	28
75	40	-3 / 16
75	65	-23 / 27
76	0	29 / 2
76	1	1 / 13
76	20	17 / 2
76	25	5 / 17
76	49	8 / 15
76	56	-5 / 31
76	68	16 / 17
76	88	17 / 4
76	92	26 / 29
77	1	16
77	5	-4 / 19
77	43	27 / 11
77	65	-26 / 9
77	68	17 / 18
77	73	-16 / 13
78	27	19 / 18
78	34	-17 / 18
78	38	-28 / 29
78	93	20 / 17
79	5	3
79	15	-1 / 11
79	18	23 / 30
79	27	24 / 25
79	33	-13 / 27
79	65	-6 / 5
79	68	-8 / 19
79	71	-7 / 24
79	90	-1 / 20
79	94	-20
80	29	-17 / 25
80	70	-10 / 3
80	89	-1 / 23
81	7	-18 / 23
81	47	-13 / 20
81	53	11 / 20
81	79	15 / 23
81	91	-3 / 4
82	9	30 / 29
82	20	29 / 5
82	39	-21 / 5
82	50	-4 / 23
82	87	20 / 19
83	19	3 / 2
83	32	2
83	56	28 / 11
83	58	19
83	83	-2 / 23
83	85	8 / 33
83	91	20 / 9
83	92	-12 / 25
84	57	23 / 27
84	78	-28 / 9
84	92	-1 / 23
85	3	18 / 7
85	28	-20 / 27
85	34	10 / 29
85	43	30 / 13
85	64	14 / 19
85	89	30 / 23
86	3	-22 / 3
86	5	-10 / 7
86	50	-21 / 8
86	96	6 / 17
86	98	-30 / 17
87	22	-12 / 19
87	66	-5 / 14
87	77	13 / 2
88	3	-21 / 20
88	4	24 / 11
88	11	25 / 14
88	34	2 / 17
88	40	-1 / 24
88	72	30 / 17
88	81	-9 / 20
88	84	-19 / 5
88	99	18 / 23
89	50	-8 / 7
89	57	1 / 23
89	91	-10
90	15	20 / 7
90	22	2 / 9
90	35	25 / 23
91	23	-16 / 15
91	45	-6 / 19
91	51	-10 / 3
91	55	-2 / 13
91	87	16 / 9
91	97	-8 / 13
92	19	-16 / 29
92	53	11 / 10
92	64	-9 / 26
92	84	10 / 9
93	18	15 / 13
93	25	6 / 11
93	39	20
94	44	-16 / 27
94	49	-13
94	54	20 / 19
94	61	-6 / 25
94	74	-15 / 31
94	81	6 / 31
95	6	-27 / 10
95	10	-15 / 2
95	11	-7 / 15
95	15	3
95	63	30 / 31
95	70	7 / 26
96	0	25 / 23
96	49	-26 / 23
96	87	24 / 17
96	90	7 / 3
97	0	8 / 23
97	36	5 / 11
97	44	3 / 2
97	51	8 / 13
97	63	-5 / 17
97	68	-16 / 23
97	76	-24 / 23
97	83	-25 / 26
97	97	28 / 31
98	18	-30 / 23
98	23	-9 / 10
98	37	8
98	40	20 / 3
98	64	-19 / 27
98	70	13 / 8
98	83	-4 / 3
98	90	-22 / 17
98	95	8 / 27
99	64	-18 / 25
99	71	25 / 12
99	86	-21 / 8
100	8	-13 / 27
100	47	8 / 27
100	48	-11 / 9
100	71	18
100	82	25 / 17
101	4	7 / 6
101	6	29 / 22
101	17	2 / 25
101	33	5 / 11
101	45	20 / 29
101	47	18 / 35
101	48	-19 / 5
101	59	-10 / 27
101	64	20 / 11
101	71	13 / 14
102	38	25 / 28
102	52	-25 / 29
