0	1	29 / 9
0	3	1 / 22
0	6	-29 / 10
0	8	6 / 11
0	9	-27 / 25
1	0	-4 / 3
1	1	17 / 19
1	2	19 / 18
1	4	-1 / 4
1	5	28 / 3
1	9	17 / 27
2	2	-17 / 30
2	3	-30 / 29
2	4	5 / 21
2	5	22 / 27
2	9	-14 / 29
3	0	12 / 31
3	4	-25 / 18
3	7	26 / 25
3	9	20 / 23
4	0	-4 / 3
4	1	-5 / 13
4	2	19 / 2
4	7	2 / 27
4	8	-25 / 17
5	2	-14 / 25
5	4	3 / 14
5	5	-20 / 27
5	9	-23 / 9
6	0	-16 / 21
6	1	11 / 12
6	3	-19 / 11
6	4	-30 / 19
6	5	21 / 10
6	7	-23 / 2
6	9	-7 / 20
7	2	7 / 10
7	4	-5 / 16
7	5	-30 / 29
7	6	-6 / 17
7	7	-23 / 26
7	8	-13 / 9
8	2	2 / 31
8	3	13 / 23
8	6	-17 / 9
8	9	30 / 17
9	2	17 / 3
9	3	13 / 10
9	5	5 / 28
9	8	-16 / 3
